Question,Answer
What are your hours?,Our hours are 9 am to 5pm Monday through Friday.
When do you open?,Our hours are 9 am to 5pm Monday through Friday.
Are you open on the weekends?,Our hours are 9 am to 5pm Monday through Friday.
What is your phone number?,Our phone number is 555-5555 and our fax is 555-5556
How can I reach you?,Our phone number is 555-5555 and our fax is 555-5557
Do you take credit cards?,"Our payment options are Credit, Check, or Bitcoin"
Can I pay with my bank account?,"Our payment options are Credit, Check, or Bitcoin"
What payments do you accept?,"Our payment options are Credit, Check, or Bitcoin"
Are payments secure?,Yes.
Can i Pay with a Credit Card through your online?,"Yes, our webiste accepts payments with a 5% fee"
Do you offer financing?,We do not offer financing.
Is there a discount for bulk orders?,"Yes, please call us at 555-5555 for details."
Why is coming up with questions so hard,Because this business is fake.
statement instead of question.,You can contact us at 555-5555.
